species,elevation,soil_type,sepal_length,sepal_width,petal_length,petal_width,sepal_area,petal_area,sepal_aspect_ratio,petal_aspect_ratio,sepal_to_petal_length_ratio,sepal_to_petal_width_ratio,sepal_petal_length_diff,sepal_petal_width_diff,petal_curvature_mm,petal_texture_trichomes_per_mm2,leaf_area_cm2,sepal_area_sqrt,petal_area_sqrt,area_ratios
2,254.8,sandy,6.41,2.48,5.84,1.71,15.8968,9.9864,2.584677419354839,3.415204678362573,1.0976027397260275,1.4502923976608186,0.5700000000000003,0.77,11.75,10.76,80.13,3.987079131394309,3.1601265797432863,1.591844909076344
1,154.1,loamy,6.65,2.77,3.4,1.3,18.4205,4.42,2.4007220216606497,2.6153846153846154,1.9558823529411768,2.1307692307692307,3.2500000000000004,1.47,7.5,15.7,43.11,4.291910996281261,2.102379604162864,4.167533936651584
2,242.5,loamy,7.16,3.32,6.75,1.66,23.7712,11.205,2.156626506024097,4.066265060240964,1.0607407407407408,2.0,0.4100000000000001,1.66,13.93,9.18,64.81,4.875571761342458,3.3473870406632096,2.121481481481481
2,272.4,loamy,6.23,2.87,4.98,1.34,17.880100000000002,6.673200000000001,2.1707317073170733,3.7164179104477615,1.251004016064257,2.1417910447761197,1.25,1.53,10.26,9.03,71.75,4.228486726950908,2.5832537622153966,2.679389198585386
0,262.9,clay,4.86,3.89,1.53,0.27,18.9054,0.4131,1.2493573264781492,5.666666666666666,3.1764705882352944,14.407407407407408,3.33,3.62,5.26,17.8,40.66,4.348034038505219,0.6427285585688565,45.76470588235294
1,143.2,loamy,6.58,2.88,3.96,1.41,18.9504,5.5836,2.2847222222222223,2.8085106382978724,1.6616161616161615,2.042553191489361,2.62,1.47,7.93,12.09,53.74,4.353205715332093,2.362964240101826,3.393939393939394
0,270.6,clay,4.26,3.97,1.25,0.18,16.9122,0.2249999999999999,1.0730478589420651,6.944444444444445,3.408,22.05555555555556,3.01,3.79,4.39,20.6,47.44,4.112444528501266,0.4743416490252569,75.16533333333334
2,205.4,loamy,7.17,3.0,5.6,2.01,21.51,11.255999999999998,2.39,2.7860696517412937,1.280357142857143,1.492537313432836,1.5700000000000005,0.9900000000000002,12.88,9.52,62.61,4.637887450122092,3.354996274215517,1.9109808102345416
1,251.9,sandy,6.2,2.7,4.45,1.2,16.740000000000002,5.34,2.2962962962962963,3.7083333333333335,1.3932584269662922,2.2500000000000004,1.75,1.5000000000000002,8.46,13.64,59.58,4.091454509095757,2.3108440016582685,3.1348314606741576
0,236.2,clay,4.86,4.59,1.46,0.33,22.3074,0.4818,1.0588235294117647,4.424242424242424,3.328767123287672,13.909090909090908,3.4000000000000004,4.26,5.12,24.67,48.66,4.723071034824693,0.6941181455631311,46.300124533001245
1,297.3,sandy,5.9,2.21,4.04,0.97,13.039,3.9188,2.6696832579185523,4.164948453608248,1.4603960396039604,2.278350515463917,1.8600000000000003,1.24,7.76,14.25,65.05,3.610955552204984,1.979595918363139,3.3272940696131466
0,225.6,clay,4.39,3.83,1.56,0.43,16.8137,0.6708000000000001,1.14621409921671,3.6279069767441854,2.814102564102564,8.906976744186046,2.83,3.4,4.69,17.67,56.16,4.100451194685776,0.8190238091777309,25.065146094215866
0,221.1,loamy,5.16,3.78,1.38,0.29,19.5048,0.4001999999999999,1.3650793650793651,4.758620689655173,3.739130434782609,13.03448275862069,3.78,3.49,4.36,23.12,51.51,4.416423892698707,0.6326136261573884,48.7376311844078
1,249.8,loamy,6.25,2.32,4.09,1.22,14.499999999999998,4.9898,2.6939655172413794,3.3524590163934427,1.528117359413203,1.901639344262295,2.16,1.1,6.84,18.5,52.98,3.807886552931954,2.2337860237721965,2.905928093310353
1,207.0,clay,5.2,3.32,3.82,1.49,17.264,5.6918,1.566265060240964,2.563758389261745,1.361256544502618,2.228187919463087,1.3800000000000003,1.83,7.62,14.69,54.39,4.154996991575325,2.3857493581682045,3.0331353877508
0,143.1,loamy,5.6,3.32,1.67,0.25,18.592,0.4175,1.686746987951807,6.68,3.3532934131736525,13.28,3.93,3.07,5.57,18.06,48.0,4.3118441530277964,0.6461423991660042,44.531736526946105
1,141.6,sandy,5.44,2.12,4.53,1.26,11.532800000000002,5.707800000000001,2.5660377358490565,3.595238095238096,1.2008830022075054,1.6825396825396826,0.91,0.8600000000000001,8.98,15.99,56.87,3.39599764428658,2.389100249047745,2.0205333053015173
1,72.4,sandy,6.99,2.35,4.11,1.09,16.4265,4.479900000000001,2.974468085106383,3.770642201834862,1.700729927007299,2.1559633027522933,2.88,1.26,7.44,13.23,58.31,4.052961879909556,2.1165774259402848,3.666711310520324
0,152.2,loamy,4.99,2.69,1.48,0.33,13.4231,0.4884,1.8550185873605949,4.484848484848484,3.371621621621622,8.15151515151515,3.51,2.36,5.29,21.1,49.82,3.6637549044661815,0.698856208386246,27.483824733824733
1,80.3,loamy,5.5,2.54,4.72,1.55,13.97,7.316,2.1653543307086616,3.0451612903225804,1.1652542372881356,1.6387096774193548,0.7800000000000002,0.99,8.71,15.63,53.28,3.737646318206152,2.704810529408668,1.9095133952979773
1,293.8,clay,6.02,2.66,3.13,1.34,16.0132,4.1942,2.263157894736842,2.335820895522388,1.9233226837060704,1.985074626865672,2.89,1.32,8.07,12.32,64.13,4.001649659827807,2.0479746092176048,3.8179390587001096
2,251.7,clay,5.94,3.18,5.6,2.74,18.8892,15.344,1.8679245283018868,2.043795620437956,1.060714285714286,1.1605839416058394,0.3400000000000007,0.4399999999999999,10.67,11.31,75.26,4.3461707283538695,3.917141815150429,1.2310479666319083
0,245.7,loamy,4.93,3.76,1.42,0.34,18.5368,0.4828,1.3111702127659577,4.1764705882352935,3.471830985915493,11.058823529411764,3.51,3.42,5.94,24.44,58.92,4.305438421345729,0.6948381106416084,38.394366197183096
0,132.4,sandy,5.67,3.19,1.49,0.39,18.0873,0.5811000000000001,1.7774294670846396,3.82051282051282,3.8053691275167782,8.179487179487179,4.18,2.8,5.71,21.07,48.79,4.252916646255837,0.762299153875957,31.1259679917398
1,100.3,clay,5.82,3.19,4.96,1.42,18.5658,7.0432,1.8244514106583076,3.492957746478873,1.1733870967741935,2.2464788732394365,0.8600000000000003,1.77,9.22,9.43,58.11,4.30880493872721,2.6539027864637394,2.635989323034984
1,227.2,loamy,6.16,2.53,5.02,1.02,15.5848,5.1204,2.4347826086956523,4.92156862745098,1.2270916334661357,2.4803921568627447,1.1400000000000006,1.5099999999999998,6.45,14.52,68.52,3.9477588578838,2.262830086418333,3.0436684634012967
2,164.1,clay,6.82,4.22,5.09,2.62,28.7804,13.3358,1.6161137440758295,1.9427480916030533,1.3398821218074657,1.6106870229007633,1.7300000000000004,1.5999999999999996,11.34,10.53,78.42,5.364736713017704,3.6518214633248434,2.1581307458120245
2,282.5,loamy,6.84,3.15,5.8,2.39,21.546,13.862,2.1714285714285717,2.426778242677824,1.179310344827586,1.3179916317991631,1.04,0.7599999999999998,15.92,8.34,67.77,4.641766904961946,3.7231706917626,1.554321165776944
2,210.4,clay,6.52,3.03,5.82,2.46,19.7556,14.3172,2.151815181518152,2.3658536585365857,1.1202749140893469,1.2317073170731707,0.6999999999999993,0.5699999999999998,10.7,11.58,78.14,4.444727213226926,3.783807606102615,1.3798508088173664
1,138.8,loamy,6.59,2.54,4.71,1.86,16.738599999999998,8.7606,2.594488188976378,2.532258064516129,1.3991507430997876,1.3655913978494625,1.88,0.6799999999999999,7.61,14.69,66.1,4.0912834172176336,2.959831076260941,1.9106682190717528
2,112.6,sandy,5.82,2.03,6.62,2.18,11.8146,14.4316,2.866995073891626,3.036697247706422,0.879154078549849,0.9311926605504586,-0.7999999999999998,-0.1500000000000003,14.47,8.68,63.18,3.437237262686415,3.79889457605762,0.8186618254386206
2,258.9,loamy,6.56,3.02,4.35,1.58,19.8112,6.872999999999999,2.172185430463576,2.753164556962025,1.5080459770114942,1.9113924050632911,2.21,1.44,8.14,9.95,66.58,4.450977420747043,2.621640707648552,2.882467626946021
1,190.0,loamy,4.95,3.19,4.79,1.31,15.7905,6.274900000000001,1.5517241379310345,3.6564885496183206,1.033402922755741,2.4351145038167936,0.1600000000000001,1.88,8.72,15.07,55.3,3.973726211001457,2.504975049775945,2.516454445489171
2,90.5,sandy,6.97,2.66,6.23,1.26,18.5402,7.849800000000001,2.620300751879699,4.944444444444445,1.118780096308186,2.111111111111111,0.7399999999999993,1.4,11.99,10.84,70.88,4.305833252693374,2.80174945346653,2.3618690922061703
1,285.5,clay,5.83,2.72,3.32,1.38,15.8576,4.581599999999999,2.143382352941176,2.4057971014492754,1.7560240963855422,1.9710144927536235,2.51,1.3400000000000003,7.55,12.2,53.97,3.982160217771254,2.140467238712146,3.46114894360049
2,160.8,clay,5.19,3.23,4.41,1.69,16.7637,7.4529,1.606811145510836,2.609467455621302,1.1768707482993197,1.911242603550296,0.7800000000000002,1.54,9.28,8.01,66.92,4.0943497652252425,2.73,2.249285513021777
2,158.2,sandy,6.55,2.13,5.1,1.78,13.9515,9.078,3.075117370892019,2.8651685393258424,1.2843137254901962,1.196629213483146,1.4500000000000002,0.3499999999999998,11.17,9.65,79.25,3.735170678831156,3.01297195473174,1.5368473231989426
0,244.5,sandy,5.35,3.18,1.65,0.32,17.012999999999998,0.528,1.682389937106918,5.15625,3.242424242424242,9.9375,3.7,2.8600000000000003,4.99,18.83,46.28,4.124681805909396,0.726636084983398,32.22159090909091
0,101.9,loamy,5.26,3.82,1.6,0.33,20.0932,0.528,1.3769633507853405,4.848484848484849,3.2875,11.575757575757574,3.66,3.49,4.57,18.75,48.2,4.482543920587951,0.726636084983398,38.05530303030303
0,235.8,clay,5.27,3.57,1.45,0.28,18.8139,0.406,1.476190476190476,5.178571428571428,3.6344827586206896,12.749999999999998,3.82,3.29,4.95,17.67,38.86,4.337499279538845,0.6371812928829597,46.339655172413785
0,212.6,clay,5.46,3.91,1.49,0.25,21.3486,0.3725,1.3964194373401535,5.96,3.664429530201342,15.64,3.97,3.66,4.83,19.6,51.84,4.6204545230961855,0.6103277807866851,57.311677852349
1,91.0,loamy,6.98,3.34,4.27,1.21,23.3132,5.1667,2.089820359281437,3.5289256198347103,1.6346604215456677,2.760330578512397,2.710000000000001,2.13,8.6,13.21,57.21,4.828374467665076,2.2730376151749008,4.512203147076471
0,230.4,clay,5.27,4.08,1.13,0.5,21.5016,0.565,1.2916666666666663,2.26,4.663716814159292,8.16,4.14,3.58,5.59,29.85,46.62,4.636981776975191,0.7516648189186453,38.05592920353983
0,163.1,clay,5.19,3.5,1.8,0.23,18.165000000000003,0.414,1.4828571428571429,7.826086956521739,2.8833333333333333,15.217391304347826,3.390000000000001,3.27,5.86,18.95,41.08,4.262041764225217,0.6434283176858165,43.8768115942029
0,117.4,loamy,5.4,3.2,1.24,0.18,17.28,0.2231999999999999,1.6875,6.888888888888889,4.35483870967742,17.77777777777778,4.16,3.02,5.21,24.22,52.2,4.156921938165306,0.4724404724407086,77.4193548387097
0,240.5,clay,4.9,3.68,1.8,0.33,18.032000000000004,0.5940000000000001,1.3315217391304348,5.454545454545454,2.7222222222222223,11.151515151515152,3.1000000000000005,3.35,5.66,19.74,59.5,4.246410248668869,0.7707139547199078,30.35690235690236
2,279.6,sandy,5.92,3.0,5.4,1.33,17.759999999999998,7.182000000000001,1.9733333333333332,4.06015037593985,1.096296296296296,2.255639097744361,0.5199999999999996,1.67,10.18,8.74,71.16,4.214261501141095,2.679925372095276,2.4728487886382617
0,241.6,clay,5.43,3.69,1.61,0.22,20.0367,0.3542,1.4715447154471544,7.318181818181818,3.372670807453416,16.772727272727273,3.82,3.47,4.26,17.61,53.48,4.476237259127358,0.5951470406546604,56.56888763410503
0,231.1,loamy,4.88,4.07,1.13,0.28,19.8616,0.3164,1.199017199017199,4.035714285714285,4.318584070796461,14.535714285714285,3.75,3.79,5.0,24.68,47.94,4.456635502259524,0.5624944444170094,62.773704171934256
0,270.4,clay,5.32,3.98,1.46,0.31,21.1736,0.4526,1.3366834170854272,4.709677419354839,3.643835616438357,12.838709677419354,3.86,3.67,5.5,19.2,45.7,4.601478023418128,0.6727555276621664,46.78214759169244
0,114.6,sandy,5.07,2.73,1.51,0.2,13.8411,0.302,1.8571428571428568,7.55,3.357615894039735,13.65,3.5600000000000005,2.53,4.68,16.81,53.48,3.720362885526088,0.5495452665613635,45.83145695364238
0,295.4,loamy,4.95,3.12,1.6,0.22,15.444,0.352,1.5865384615384617,7.272727272727273,3.09375,14.181818181818182,3.35,2.9,5.06,18.05,47.61,3.929885494515076,0.593295878967653,43.875
1,164.8,loamy,6.28,2.87,3.9,1.12,18.0236,4.368,2.1881533101045294,3.4821428571428568,1.6102564102564103,2.5625,2.3800000000000003,1.75,6.16,13.19,58.89,4.245421062745131,2.089976076418101,4.126282051282051
1,239.2,clay,6.12,2.87,4.46,1.53,17.564400000000003,6.8238,2.132404181184669,2.915032679738562,1.3721973094170403,1.8758169934640525,1.66,1.34,7.88,17.55,59.73,4.190990336424077,2.61224041772575,2.573991031390135
2,228.7,loamy,7.26,3.26,5.86,2.04,23.6676,11.9544,2.226993865030675,2.872549019607843,1.2389078498293515,1.5980392156862744,1.3999999999999997,1.2199999999999998,14.54,10.53,56.1,4.864935765249116,3.4575135574571507,1.979823328648865
0,230.7,clay,5.03,4.57,1.85,0.35,22.9871,0.6475,1.100656455142232,5.285714285714287,2.718918918918919,13.05714285714286,3.18,4.220000000000001,5.66,15.92,54.51,4.794486416708259,0.8046738469715541,35.501312741312745
0,110.9,sandy,5.42,3.16,1.55,0.27,17.127200000000002,0.4185,1.7151898734177211,5.7407407407407405,3.496774193548387,11.703703703703704,3.87,2.89,5.35,21.05,48.93,4.138502144496243,0.6469157595854348,40.92520908004779
0,119.4,loamy,5.4,3.27,1.53,0.37,17.658,0.5661,1.651376146788991,4.135135135135135,3.5294117647058827,8.837837837837839,3.87,2.9,5.26,17.53,54.53,4.202142310774351,0.7523961722390672,31.19236883942766
0,89.0,clay,4.93,3.81,1.94,0.35,18.7833,0.6789999999999999,1.2939632545931758,5.542857142857143,2.5412371134020617,10.885714285714286,2.99,3.46,5.39,20.47,49.84,4.333970465981512,0.8240145629781066,27.66318114874816
2,294.5,loamy,6.47,2.77,6.28,2.26,17.9219,14.1928,2.335740072202166,2.778761061946903,1.0302547770700636,1.2256637168141593,0.1899999999999995,0.5100000000000002,15.42,9.97,65.61,4.233426508160972,3.767333274346723,1.2627458993292373
0,102.5,clay,4.86,3.63,1.45,0.35,17.6418,0.5075,1.3388429752066118,4.142857142857143,3.351724137931035,10.371428571428572,3.41,3.28,4.47,19.86,51.0,4.200214280248092,0.7123903424387503,34.762167487684735
2,172.6,sandy,6.74,2.76,5.92,1.85,18.6024,10.952,2.4420289855072466,3.2,1.1385135135135136,1.4918918918918918,0.8200000000000003,0.9099999999999996,9.91,10.98,76.3,4.313049964932008,3.3093806066996887,1.6985390796201607
1,59.1,loamy,6.2,2.62,5.12,1.49,16.244,7.6288,2.366412213740458,3.436241610738255,1.2109375,1.7583892617449666,1.08,1.13,9.76,14.14,58.37,4.030384597032894,2.762028240261131,2.129299496644295
1,66.7,clay,6.08,2.89,4.13,1.41,17.5712,5.8233,2.1038062283737022,2.9290780141843973,1.4721549636803877,2.049645390070922,1.95,1.4800000000000002,6.89,14.54,73.41,4.191801522018904,2.4131514664438285,3.017395634777532
0,160.8,sandy,4.92,3.37,1.37,0.24,16.5804,0.3288,1.459940652818991,5.708333333333334,3.5912408759124084,14.041666666666668,3.55,3.13,4.29,24.84,49.74,4.071903731671465,0.5734108474732581,50.42700729927007
1,129.2,sandy,6.96,2.35,3.94,1.21,16.356,4.767399999999999,2.9617021276595743,3.2561983471074383,1.766497461928934,1.9421487603305787,3.02,1.14,7.81,15.91,65.69,4.044255184826992,2.1834376565407125,3.430800855812393
1,239.1,loamy,6.83,2.22,4.04,1.29,15.1626,5.2116,3.0765765765765765,3.131782945736434,1.6905940594059403,1.7209302325581397,2.79,0.9300000000000002,7.15,13.34,55.27,3.893918335045048,2.2828929015615254,2.909394427814875
0,65.7,loamy,5.26,3.16,1.31,0.37,16.6216,0.4847,1.6645569620253162,3.540540540540541,4.015267175572519,8.54054054054054,3.95,2.79,4.71,24.61,41.08,4.076959651505028,0.6962039930939782,34.292552094078815
1,209.8,sandy,6.94,2.37,4.06,1.21,16.4478,4.912599999999999,2.928270042194093,3.355371900826446,1.7093596059113303,1.9586776859504131,2.880000000000001,1.16,9.14,18.48,58.58,4.055588736546151,2.2164385847570878,3.3480845173635148
2,185.2,loamy,6.69,3.08,5.51,1.84,20.6052,10.1384,2.1720779220779223,2.994565217391304,1.2141560798548094,1.6739130434782608,1.1800000000000006,1.24,14.61,12.62,71.34,4.53929509946203,3.1840854259896987,2.0323916988873982
1,242.9,loamy,6.23,3.38,4.45,1.27,21.0574,5.6515,1.843195266272189,3.503937007874016,1.4,2.6614173228346454,1.7800000000000002,2.11,8.56,14.26,62.56,4.588834274627926,2.3772883712330737,3.725984251968504
0,173.3,loamy,5.57,3.4,1.43,0.32,18.938,0.4576,1.6382352941176472,4.46875,3.895104895104896,10.625,4.140000000000001,3.08,4.77,18.81,53.6,4.351781244502072,0.6764613810115105,41.38548951048951
0,213.2,loamy,5.04,3.53,1.49,0.24,17.7912,0.3576,1.4277620396600568,6.208333333333334,3.38255033557047,14.708333333333334,3.55,3.29,5.68,21.82,50.45,4.217961592997262,0.5979966555090421,49.751677852349
1,108.1,sandy,7.24,2.69,4.63,1.06,19.4756,4.9078,2.6914498141263943,4.367924528301886,1.5637149028077757,2.537735849056604,2.6100000000000003,1.63,7.89,18.06,62.04,4.413116812412742,2.215355501945455,3.9682953665593534
0,171.3,loamy,5.26,3.54,1.59,0.45,18.6204,0.7155,1.4858757062146892,3.533333333333333,3.3081761006289305,7.866666666666666,3.67,3.09,5.24,21.04,61.54,4.315136150806832,0.8458723307923011,26.02431865828092
2,254.9,sandy,6.35,2.91,5.98,1.89,18.4785,11.3022,2.18213058419244,3.1640211640211646,1.0618729096989965,1.5396825396825398,0.3699999999999992,1.0200000000000002,14.34,15.38,68.25,4.298662582711046,3.361874477133256,1.6349471784254392
2,285.8,sandy,6.19,2.11,6.19,1.64,13.0609,10.1516,2.9336492890995265,3.77439024390244,1.0,1.2865853658536586,0.0,0.47,10.18,8.44,59.57,3.613986718293248,3.186157560448008,1.2865853658536586
1,74.6,clay,6.43,2.96,4.72,2.13,19.0328,10.0536,2.1722972972972974,2.215962441314554,1.3622881355932204,1.3896713615023475,1.71,0.8300000000000001,9.6,14.07,48.27,4.362659739195804,3.1707412382595965,1.893132808148325
2,110.3,loamy,7.65,2.9,5.98,1.49,22.185,8.910200000000001,2.637931034482759,4.0134228187919465,1.279264214046823,1.9463087248322144,1.67,1.41,13.58,12.37,70.04,4.710095540432274,2.9849958123923725,2.4898431011649564
1,146.0,clay,6.76,2.83,4.19,1.41,19.1308,5.907900000000001,2.3886925795053,2.9716312056737597,1.6133651551312649,2.0070921985815606,2.5699999999999994,1.4200000000000002,6.39,15.39,59.33,4.373876998727788,2.4306172055673434,3.2381726163272906
1,204.8,clay,4.62,2.89,4.03,1.45,13.3518,5.843500000000001,1.5986159169550174,2.7793103448275867,1.1464019851116625,1.9931034482758625,0.5899999999999999,1.4400000000000002,8.26,13.79,59.11,3.654011494234795,2.4173332414046684,2.284897749636348
2,130.2,clay,7.02,3.15,6.1,2.68,22.113,16.348,2.2285714285714286,2.276119402985074,1.1508196721311474,1.1753731343283582,0.92,0.4699999999999997,13.01,13.42,69.73,4.702446171940728,4.043266006584281,1.3526425250795204
0,276.5,loamy,4.75,2.8,1.15,0.31,13.3,0.3565,1.6964285714285716,3.7096774193548394,4.130434782608696,9.032258064516128,3.6,2.49,4.78,27.12,45.35,3.6469165057620936,0.5970762095411272,37.30715287517531
